cfg_label,round,elo_temperature,w_tournament,w_blade,uwo_lambda,elo_rounds,gsi_n,response_quality,relevance,helpfulness,toxicity,harmfulness,refusal,objective
r0_cfg3,0,21.029791911132634,1.5867192456498742,2.088413159362972,0.3952437350526452,7,3,0.854,0.87,0.852,0.0,0.012,0.12,0.9233060344827587
r0_cfg7,0,31.637042555958033,2.9642628002911806,0.2905998984351754,0.5481348242610693,9,5,0.84,0.85,0.858,0.0,0.012,0.144,0.9134638390429581
r0_cfg0,0,15.0,1.0,1.0,0.2,6,8,0.834,0.834,0.844,0.0,0.012,0.126,0.9069978118161925
r0_cfg2,0,36.57742354366928,0.5194765208289027,0.756638458929956,0.6933132084086537,9,8,0.832,0.846,0.846,0.0,0.012,0.148,0.9099465357337698
r0_cfg6,0,25.97017326205969,1.0283670611679554,2.747099963016808,0.3437629137188196,7,9,0.852,0.808,0.844,0.0,0.0,0.166,0.907103825136612
r0_cfg4,0,1.7076322119683027,1.4447080548852682,0.7129213633015752,0.8515185508877039,2,10,0.85,0.872,0.864,0.0,0.006,0.136,0.9240226049515607
r0_cfg5,0,6.517390771768987,2.014860629104078,1.1782503677532077,0.8938517281785607,4,15,0.836,0.824,0.826,0.0,0.012,0.15,0.9046271929824562
r0_cfg1,0,17.810149500146508,2.4431039169430733,2.419238300062716,0.053456684574484825,4,14,0.824,0.83,0.856,0.0,0.012,0.176,0.9028423942888523
r0_cfg10,0,33.703091450966895,1.192050414159894,1.5501067349687219,0.9845422161743045,5,5,0.88,0.836,0.844,0.0,0.012,0.182,0.9210064794816415
r0_cfg11,0,29.693259146995842,2.42042388394475,1.393136722035706,0.15760407503694296,3,6,0.866,0.818,0.834,0.0,0.0,0.138,0.9142236699239956
r0_cfg9,0,13.409926312044263,1.7998790564015508,0.12481158133596182,0.2533165365457535,10,11,0.892,0.828,0.852,0.0,0.012,0.2,0.9221574973031282
r0_cfg8,0,13.00039144884795,0.010117870755493641,1.7598419850692153,0.189472165890038,6,12,0.896,0.832,0.86,0.0,0.012,0.134,0.9244520990312164
r0_cfg13,0,5.125954902730882,2.6486125644296408,1.879250136204064,0.6626813178882003,6,12,0.892,0.838,0.854,0.0,0.012,0.156,0.925024206562668
r0_cfg12,0,10.068716770038009,0.5934790363535285,2.9063238305971026,0.5802470855414867,8,13,0.906,0.836,0.854,0.0,0.006,0.136,0.9297505353319059
r0_cfg14,0,24.885880813002586,0.353650183416903,0.5477052284404635,0.08384446427226067,3,6,0.862,0.832,0.86,0.0,0.012,0.116,0.9146311787072243
r0_cfg15,0,38.51046898588538,2.122550236992538,2.579400605522096,0.7544648796319962,5,8,0.872,0.852,0.86,0.0,0.012,0.146,0.9233060344827587
r0_cfg17,0,19.393776980228722,2.1624849513173103,1.6806578859686852,0.5289708208292723,2,6,0.88,0.804,0.844,0.0,0.012,0.17,0.9117080610021786
r0_cfg21,0,8.749072756618261,2.2864870419725776,0.44022500328719616,0.4300308460369706,6,4,0.886,0.848,0.86,0.0,0.012,0.138,0.9261665771090811
r0_cfg16,0,18.352687525562942,0.8577392175793648,0.9724632063880563,0.49205323588103056,8,15,0.862,0.766,0.822,0.0,0.018,0.206,0.8938216066481993
r0_cfg18,0,39.90615934692323,0.8044960973784328,0.018064135685563087,0.23329249490052462,7,12,0.888,0.822,0.842,0.0,0.012,0.138,0.9192752839372634
r0_cfg20,0,3.7897791946306825,0.23119319044053555,1.4742551185190678,0.325087146833539,4,8,0.874,0.842,0.856,0.0,0.012,0.158,0.9210064794816415
r0_cfg19,0,23.785287456586957,2.8075658390298486,2.8497415613383055,0.9371837610378861,9,14,0.878,0.838,0.854,0.0,0.012,0.132,0.9210064794816415
r0_cfg22,0,28.575872289948165,0.7406320162117481,2.009069222956896,0.8233212996274233,9,11,0.86,0.794,0.814,0.0,0.014,0.196,0.9024296703296704
r0_cfg23,0,35.115573859773576,1.734423654153943,1.0528495386242867,0.025747759267687798,7,13,0.86,0.804,0.842,0.0,0.012,0.142,0.9058138006571742
r0_cfg24,0,14.434482619166374,1.220917266793549,2.5220855567604303,0.7276120530441403,4,7,0.878,0.832,0.842,0.0,0.01,0.164,0.9197027027027026
r0_cfg25,0,11.911103983409703,2.8288268269971013,0.8875619117170572,0.7895000949501991,8,9,0.894,0.844,0.862,0.0,0.006,0.148,0.928609860664523
r0_cfg28,0,7.920817048288882,1.0586643805727363,2.1691599916666746,0.11839135363698006,10,5,0.858,0.818,0.864,0.0,0.012,0.182,0.9093580786026201
r0_cfg29,0,3.1326124407351017,1.6282446440309286,2.63998057320714,0.13819196727126837,8,7,0.86,0.878,0.876,0.0,0.012,0.1,0.9273064949006977
r0_cfg26,0,30.288369027897716,0.15577162988483906,2.3128509745001793,0.46409622114151716,3,16,0.826,0.844,0.828,0.0,0.006,0.164,0.9088373362445415
r0_cfg27,0,27.004716405645013,1.950835783034563,0.6559782363474369,0.6352125694975257,5,11,0.854,0.796,0.844,0.006,0.018,0.178,0.8991726420297849
r0_cfg31,0,35.25004361476749,2.600718188099563,1.8398560378700495,0.29640839248895645,3,10,0.852,0.796,0.856,0.0,0.0,0.186,0.9035087719298246
r0_cfg30,0,22.043042327277362,1.3930557081475854,1.3084410410374403,0.6238271780312061,5,14,0.878,0.854,0.84,0.0,0.012,0.124,0.9255956989247313
r0_cfg32,0,16.699308954179287,0.39568061381578445,0.2329247072339058,0.9656184045597911,6,4,0.894,0.846,0.848,0.0,0.012,0.128,0.9278755364806868
r0_cfg33,0,15.671887564472854,1.528851849026978,1.3245170144364238,0.740848514251411,6,5,0.868,0.854,0.846,0.0,0.012,0.162,0.9227320754716981
r0_cfg34,0,36.27803423628211,1.4805935192853212,2.998835896141827,0.005791701376438141,9,11,0.862,0.824,0.842,0.0,0.0,0.164,0.9148128052088985
r0_cfg37,0,7.425965553149581,2.9283773358911276,2.57797918561846,0.33136167004704475,2,4,0.874,0.848,0.848,0.0,0.012,0.154,0.9227320754716981
r0_cfg36,0,2.635398662649095,0.48358392622321844,1.5425527235493064,0.4139780690893531,4,9,0.868,0.832,0.864,0.0,0.012,0.134,0.9163774403470716
r0_cfg35,0,22.539671763777733,2.5009584613144398,0.1553424233570695,0.8326697535812855,7,16,0.872,0.81,0.852,0.0,0.012,0.158,0.9111215258855586
r0_cfg38,0,27.49894752819091,0.06798526737838984,0.9974107732996345,0.9063673904165626,7,10,0.836,0.788,0.84,0.0,0.006,0.168,0.8950403537866224
r0_cfg40,0,10.881321327760816,0.9705125167965889,0.48466884065419436,0.5020498409867287,4,7,0.878,0.804,0.836,0.0,0.012,0.192,0.9111215258855586
r0_cfg39,0,31.3187592709437,2.050753223709762,1.9656295655295253,0.23568687122315168,9,14,0.87,0.824,0.848,0.0,0.012,0.174,0.9146311787072243
r0_cfg41,0,15.537513698451221,2.385994680225849,2.1306656347587705,0.9408905254676938,8,9,0.9,0.868,0.86,0.0,0.016,0.156,0.9348912579957357
r0_cfg44,0,9.16828732099384,1.1327167209237814,0.8374346131458879,0.14276858512312174,6,6,0.904,0.82,0.858,0.0,0.018,0.126,0.922009713977334
r0_cfg43,0,28.156042002141476,1.8342982241883874,2.3623402258381248,0.5952122379094362,3,13,0.9,0.858,0.866,0.0,0.01,0.146,0.9334098185699039
r0_cfg42,0,34.01315501704812,0.6527969716116786,0.6936514405533671,0.2970827054232359,5,15,0.862,0.822,0.85,0.0,0.012,0.174,0.9117080610021786
